id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
913036088909257184,Casa Amari @Cielo Suite,515240052,Alfonsina,,Miguel Hidalgo,19.43163283730218,-99.19474066507608,Private room,1637,1,20,2024-06-05,1.60,8,160,16,
913061837410335828,Livix - 2BD 2BA w/parking,360480220,Victor,,Miguel Hidalgo,19.4412,-99.19562,Entire home/apt,1541,2,45,2024-06-09,3.79,36,70,45,
915378451955007823,Departamento privado acogedor,494717470,Niria,,Coyoacán,19.33484,-99.15076599999999,Entire home/apt,699,1,33,2024-06-21,2.89,1,331,33,
913092915366962304,Cautivador espacio en la Roma1,93484098,Ara,,Cuauhtémoc,19.40370540066945,-99.16730937023728,Entire home/apt,2000,2,7,2024-04-23,0.59,1,250,7,
915434594838876634,"PH Gran Vista, Gym y carril de nado en condesa",463780302,Rodrigo,,Cuauhtémoc,19.409924,-99.1798299,Entire home/apt,2232,1,16,2024-04-27,1.38,2,78,16,
915896681817809561,"Corazón Feliz@Condesa, Gym,Pool, Balcony,3B,2B, 6P",43301845,Jose,,Cuauhtémoc,19.411427527688826,-99.17322841534424,Entire home/apt,3083,2,34,2024-06-04,2.81,3,316,34,
913105633563676804,"Ens. Studio (Int.) w/ Balcony, WiFi & Kitchenette",164557581,Alejandro,,Cuauhtémoc,19.43373428681653,-99.15635548532009,Entire home/apt,819,2,32,2024-06-16,2.59,3,346,31,
915958089115133887,Comfy and beautiful apartment near amazing places,520524963,Edgar,,Cuauhtémoc,19.436700688465987,-99.15551556853609,Entire home/apt,766,1,25,2024-06-01,2.03,1,153,24,
915960929746058612,Habitacion Doble Zona Turistica,150617712,Andrea,,Cuauhtémoc,19.4057592,-99.1744741,Private room,423,1,44,2024-06-08,3.55,60,360,41,
913122524254512845,Quédate en Corazón de CDMX cerca Alameda y la Roma,519850514,Tamara Y Mario,,Cuauhtémoc,19.430444046439554,-99.14734838955845,Entire home/apt,909,2,44,2024-06-23,3.75,1,166,44,
916046154343307422,Departamento la estancia,512735236,Karla Ivet,,Iztapalapa,19.356424232564702,-99.01536718010902,Private room,300,1,4,2023-10-21,0.33,1,365,4,
913139674648290928,2 King Suite Home in the Heart of Roma-Condesa,430951110,Mai,,Cuauhtémoc,19.41364583094334,-99.16340840317505,Entire home/apt,1200,1,16,2024-05-05,1.31,7,345,15,
916073352426883509,Habitación con baño privado,120393730,Manuel,,Miguel Hidalgo,19.43773,-99.18742,Private room,346,28,0,,,1,89,0,
913154895420793076,Hermila suites,230992075,Ricardo,,Tlalpan,19.29209523510977,-99.15470546444324,Private room,727,1,18,2024-05-31,1.68,11,324,18,
916241760522678794,Habitación en condominio y plaza,320277198,Jessica,,Azcapotzalco,19.4688517,-99.1597557,Private room,393,3,8,2024-05-04,0.90,1,170,8,
913159491171383382,Charming Apt w/Balcony: Prime Shopping District,519801348,Uliv,,Miguel Hidalgo,19.4380722,-99.2018253,Entire home/apt,2000,1,125,2024-06-18,9.87,8,365,120,
916250658520717087,3 BR Upscale Art House Reforma Avenue,520584992,Alberto,,Cuauhtémoc,19.436930345235943,-99.15071118857311,Entire home/apt,3290,3,39,2024-06-20,3.24,1,360,39,
916372012494835370,Cozy and bright apartment in Roma Norte,126599651,Maria,,Cuauhtémoc,19.42399,-99.15911,Entire home/apt,1015,8,0,,,1,365,0,
913159745666643082,B/Center+GYM+Rooftop | Polanco Apt w/a Balcony,519801348,Uliv,,Miguel Hidalgo,19.4380722,-99.2018253,Entire home/apt,2000,1,35,2024-06-13,2.76,8,365,30,
913159826465349601,Refined Apt w/ Balcony | Rooftop w/Fire Pit+GYM,519801348,Uliv,,Miguel Hidalgo,19.4380722,-99.2018253,Entire home/apt,2000,1,36,2024-06-07,2.84,8,364,31,
916568568882667094,Private View Room in Roma Norte!,6726591,Scott,,Cuauhtémoc,19.4155097,-99.1624374,Private room,921,2,14,2024-03-24,1.13,4,277,13,
913169491281896340,Luxurious Balcony Apt | Gym + Rooftop + B/Center,519801348,Uliv,,Miguel Hidalgo,19.4380722,-99.2018253,Entire home/apt,1848,1,19,2024-05-27,1.50,8,364,14,
913191484458195987,Loft céntrico en CDMX,320978886,Juan Carlos,,Benito Juárez,19.38249214196598,-99.15752329259992,Entire home/apt,573,2,38,2024-06-23,3.02,1,80,35,
916695455895087556,"Depto equipado, a min del Centro Historico, Cdmx.",144325663,Ledeshda,,Cuauhtémoc,19.454849993224283,-99.14352787314522,Private room,450,2,27,2024-04-24,2.20,7,75,26,
916792273386800589,Amplio departamento independiente,338060737,Luz,,Gustavo A. Madero,19.46667,-99.12157,Entire home/apt,450,1,10,2023-09-15,0.81,1,330,9,
913198236628347695,Beautiful Room 1BA w/ Patio | Polanco,467838160,Ana,,Miguel Hidalgo,19.4298076,-99.20411229999999,Entire home/apt,1748,1,54,2024-06-17,4.43,7,329,54,
913234930355572765,Habitación con cama individual,519275050,Natalia,,Cuauhtémoc,19.452203875673238,-99.15731416479872,Private room,409,1,1,2023-07-16,0.09,2,364,1,
